Address,Bedrooms
540 Kelton,2 Bed 2.5 Bath
705 gayley,3 bed 3 bath
11024 strathmore Dr ,3 bed 3 bath
10965 Strathmore Drive ,2 Bed 2 Bath
631 Kelton,2 bed 2 bath
700 Levering,"3 bed, 2 bath "
747 Gayley,2 Bed 2 Bath
516 Glenrock,2 Bed 2 Bath
670 kelton ave,3 bed 3 bath
527 Midvale,2 bed 2 bath
424 Veteran,2 Bed 2 Bath
10811 Ashton Avenue (Wilshire Villa),2 Bed 2 Bath
10923 Strathmore Drive,
1000 Tiverton Ave,2 bed 1.5 bath
1823 Pelham Ave,3B2B
540 Kelton,3
437 Gayley,3 bed 2 bath
424 Veteran,2 bed 2 bath
652 Veter Ave ,1 Bed 1 Bath
545 Glenrock,3 bed 2 bath
11044 Ophir,2 bed 2 bath
424 Kelton,2 bed 2 bath
430 Kelton,2bed/2bath
964 Hilgard,2 bed 2 bath
626 Midvale Ave,2 bed 1 bath
475 Gayley,2 Bed 2 Bath
11024 Strathmore Drive,3 Bed 3 Bath
10995 roebling ave ,3 bedroom and 3 bath 
543 Kelton Ave,2 bed 1 bath
10965 strathmore Dr ,2 bed 2 bath 
465.5 Midvale Ave,3 bed 1 bath